,college,Accommodation,City Life,Clubs and Societies,Course and Lecturers,Facilities,Job Prospects,OVERALL UNIVERSITY RATING,Student Support,Students' Union,Uni Facilities
0,ACM (The Academy of Contemporary Music),3.8766737953490145,4.355507404278934,3.6039426849939984,4.410958904109589,4.005865102639293,4.417254117284901,4.465753424657534,4.589041095890411,3.9164934974247343,4.4520547945205475
1,AECC University College,3.8234880450070325,4.0,3.5,3.5,4.005865102639296,3.5,4.5,5.0,4.0,4.0
2,Abertay University,3.817525836237998,3.6718407998860267,3.4713326666831956,4.0144927536231885,4.005865102639293,3.848904901481843,4.101449275362318,4.217391304347826,3.195304439536252,4.202898550724638
3,Aberystwyth University,4.060336639450562,4.309058605975496,4.2747070454730585,4.025974025974026,4.005865102639292,4.153080767547059,4.4480519480519485,4.0,3.899194846285724,4.214285714285714
4,Anglia Ruskin University,3.805318285250359,3.6796343521969623,3.433611032555867,3.747967479674797,4.005865102639292,3.726379373344295,3.83739837398374,3.6422764227642275,3.6256261191544943,3.7642276422764227
5,Arden University,3.823488045007033,4.223801012809056,3.7536590001900776,3.8,4.005865102639296,4.2,4.4,3.6,3.6952012656002813,4.2
6,Askham Bryan College,3.8234880450070325,4.119005064045279,3.753659000190078,4.5,4.0,4.5,5.0,5.0,3.6952012656002813,4.085604223141675
7,BIMM,3.8234880450070263,4.483033763034746,3.7536590001900607,3.996941896024465,4.005865102639292,4.337094114008865,4.204892966360856,4.333333333333333,3.6952012656002804,3.9877675840978593
8,Bangor University,4.11406256659421,4.045454545454546,4.545676303041823,4.03030303030303,4.005865102639293,4.3991615594143685,4.53030303030303,4.378787878787879,4.152812178739406,4.348484848484849
9,"Birkbeck, University of London",3.748625495460938,4.738091369458662,3.615299545540944,4.181818181818182,4.005865102639297,3.940423901940756,4.363636363636363,4.454545454545454,4.0077821633455315,4.090909090909091
10,Birmingham City University,4.294092827004219,4.6,4.6,4.2,4.005865102639296,5.0,4.8,4.2,5.0,4.2
11,Bishop Burton College,3.8234880450070325,4.119005064045279,3.753659000190078,3.0,3.0,1.0,3.0,3.0,3.6952012656002813,4.085604223141675
12,Bishop Grosseteste University,3.8234880450070325,3.0,3.0,3.0,4.005865102639296,3.0,3.0,2.0,3.0,3.0
13,Blackburn College,3.8234880450070325,4.119005064045279,3.753659000190078,5.0,5.0,5.0,5.0,5.0,3.6952012656002813,4.085604223141675
14,Bournemouth University,3.9087904360056265,4.4,4.163048850028511,3.9,4.005865102639296,4.555744382022472,4.55,4.2,4.319520126560027,4.2
15,Bridgend College,3.8234880450070357,3.8408017362440967,3.7159584000868935,4.285714285714286,4.005865102639294,4.546139646869984,4.485714285714286,4.514285714285714,3.818491826331516,4.0285714285714285
16,"Bristol, University of the West of England",3.8234880450070325,3.5,3.5,2.0,4.005865102639296,1.0,1.5,1.0,3.0,3.5
17,Brunel University London,3.8234880450070325,3.0,3.3333333333333335,3.3333333333333335,4.005865102639296,3.3333333333333335,3.6666666666666665,2.6666666666666665,2.6666666666666665,3.6666666666666665
18,Buckinghamshire New University,3.6507120253164556,3.13243781650283,3.4230184375593993,3.5625,4.005865102639297,3.75718047752809,3.6875,3.5,3.7934500791000176,3.375
19,Cardiff Metropolitan University,3.8234880450070325,4.059502532022639,3.376829500095039,3.75,4.005865102639296,4.25,3.75,4.0,3.3476006328001406,4.0
20,"College of Haringey, Enfield and North East London",3.823488045007034,4.119005064045278,3.7536590001900807,4.4523809523809526,3.761904761904762,4.246301498127341,4.476190476190476,4.309523809523809,3.6952012656002777,4.085604223141673
21,DN Colleges Group,3.8234880450070357,4.170828295572028,3.8269731766494868,4.970588235294118,5.0,4.970588235294118,5.0,5.0,3.7425423676237917,4.085604223141673
22,De Montfort University,3.0,4.0,4.0,4.0,4.005865102639296,3.0,5.0,4.0,4.0,4.0
23,Edge Hill University,3.2,3.4,3.2,3.0,4.005865102639296,3.8,3.2,3.6,3.3390402531200563,3.8
24,Edinburgh Napier University,3.754096935792282,4.3298541032824245,3.2393807303691142,3.595505617977528,4.005865102639292,3.956347052139881,3.741573033707865,3.6292134831460676,3.359011378157335,4.123595505617978
25,Falmouth University,3.8000640343956147,3.354041185630801,3.458001276458306,3.983739837398374,4.005865102639292,3.730115556773545,3.959349593495935,3.7235772357723578,3.400071740214678,4.162601626016261
26,Futureworks,3.8234880450070343,4.3678507596067915,3.7536590001900807,4.3,4.0058651026392935,4.502872191011236,4.475,4.475,3.6952012656002777,4.4
27,Glasgow Caledonian University,3.7604331926863535,4.523808162049448,3.6727025280364938,3.88,4.005865102639292,4.098757303370786,4.072,4.008,3.3043009316224308,4.144
28,"Goldsmiths, University of London",3.911744022503516,4.559502532022639,3.376829500095039,1.0,4.005865102639296,1.0,1.0,2.0,3.8476006328001406,2.0
29,Hartpury University,3.9625367600051153,4.045454545454546,4.000665272761832,4.363636363636363,4.005865102639295,4.7324948927477015,4.454545454545454,4.5,4.049345627127311,4.545454545454546
30,Hult International Business School,3.8234880450070325,5.0,3.753659000190078,4.666666666666667,4.005865102639296,4.666666666666667,4.666666666666667,5.0,3.695201265600281,5.0
31,Imperial College London,3.90977831357578,4.31541909584805,3.9882694761995277,3.9047619047619047,4.005865102639292,4.146139646869984,3.933333333333333,3.761904761904762,3.725440072320016,4.019047619047619
32,Interactive Design Institute,3.8234880450070325,4.373001688015093,3.7536590001900767,3.6666666666666665,4.005865102639297,4.083333333333333,4.166666666666667,4.25,3.6952012656002817,3.5833333333333335
33,KLC School of Design,3.8234880450070343,4.291666666666667,3.7536590001900785,4.166666666666667,4.005865102639295,4.42624063670412,4.083333333333333,4.25,3.69520126560028,3.0416666666666665
34,Keele University,3.329395218002813,3.8,4.350731800038015,4.2,4.005865102639296,3.6,4.0,3.8,4.0,4.2
35,Kingston University,3.2156586966713547,4.0,4.169106000126718,3.3333333333333335,4.005865102639296,4.0,3.3333333333333335,3.0,3.4634675104001875,3.6666666666666665
36,Lancaster University,3.9999836457004556,3.7812796586099164,4.3842314883986155,4.0,4.0058651026392935,4.328253200940685,4.488372093023256,4.27906976744186,3.6834977332837338,4.395348837209302
37,Leeds Arts University,3.88873545582406,4.609090909090909,3.839268372760104,4.218181818181818,4.005865102639292,4.491953524004086,4.536363636363636,4.445454545454545,4.061643682385465,4.709090909090909
38,Leeds Beckett University,3.808899886847918,4.387932521204709,3.1793692556805415,3.917293233082707,4.005865102639292,3.7963842189744015,3.924812030075188,3.7969924812030076,3.5125654706285845,4.135338345864661
39,Leeds City College,3.8234880450070308,4.1155049151027665,3.7314925590080206,4.411764705882353,3.6470588235294117,4.411764705882353,4.382352941176471,4.470588235294118,3.6453424048473275,4.085604223141673
40,Leeds College of Music,3.8234880450070325,5.0,3.753659000190078,5.0,4.005865102639296,5.0,5.0,5.0,3.6952012656002813,5.0
41,Liverpool Hope University,3.8192289369810775,4.528032421420815,3.3998427258401738,4.056451612903226,4.005865102639292,3.7419354838709675,4.024193548387097,4.008064516129032,3.4407033380774448,4.120967741935484
42,Liverpool John Moores University,2.5,4.559502532022639,4.376829500095039,2.5,4.005865102639296,2.5,2.5,2.5,1.5,2.5
43,London College of Creative Media,3.823488045007035,4.285714285714286,3.7536590001900794,4.107142857142857,4.005865102639294,3.142857142857143,4.071428571428571,3.75,3.695201265600279,4.321428571428571
44,London Metropolitan University,3.8234880450070325,4.559502532022639,3.753659000190078,4.5,4.005865102639296,3.557443820224719,4.0,3.5,2.3476006328001406,3.0
45,London School of Business and Finance,3.8234880450070325,5.0,3.753659000190078,5.0,4.005865102639296,5.0,5.0,5.0,3.6952012656002813,4.0
46,Loughborough University,4.113421740004019,3.2312864377207546,4.464808428598582,3.9285714285714284,4.005865102639297,4.214285714285714,4.285714285714286,3.642857142857143,4.357142857142857,4.214285714285714
47,Maryvale Institute,3.823488045007033,4.471403038427168,4.002927200152063,4.8,4.005865102639296,5.0,5.0,5.0,3.8171207593601686,4.8
48,Met Film School,3.8234880450070325,4.75,3.753659000190078,4.25,4.005865102639296,4.25,4.25,4.25,3.6952012656002813,4.25
49,Middlesbrough College,3.8234880450070357,4.3609693754984775,3.9130608065435863,4.483870967741935,4.387096774193548,4.455318956143531,4.483870967741935,4.483870967741935,3.961884565006605,4.085604223141673
50,Middlesex University,3.8234880450070325,5.0,1.0,2.0,4.005865102639296,2.0,1.0,1.0,1.0,4.0
51,Mont Rose College of Management and Sciences,3.8234880450070285,4.3294520018976375,3.762891155744216,4.377777777777778,4.005865102639292,4.423073241781107,4.407407407407407,4.377777777777778,3.704866441410658,4.17037037037037
52,New College of the Humanities,3.7601428107757227,4.846153846153846,4.076923076923077,4.6923076923076925,4.005865102639297,4.846153846153846,4.846153846153846,4.846153846153846,4.230769230769231,4.153846153846154
53,"Newman University, Birmingham",4.117616033755274,4.38987563300566,3.6884147500475195,4.875,4.005865102639297,4.76436095505618,4.75,5.0,3.7988003164000705,4.75
54,"Northumbria University, Newcastle",3.869717366552811,4.595238095238095,3.7204994523945296,3.6904761904761907,4.0058651026392935,4.050354467629749,4.0476190476190474,3.857142857142857,3.549657233257163,3.9523809523809526
55,Norwich University of the Arts,1.9411626816690106,3.3333333333333335,1.9178863333966927,1.3333333333333333,4.005865102639296,1.6666666666666667,1.3333333333333333,1.6666666666666667,1.8984004218667605,1.6666666666666667
56,Nottingham Trent University,3.8412624246028333,4.509107484510978,4.008708503372287,4.093959731543624,4.005865102639292,4.233471269135058,4.332214765100671,4.167785234899329,4.220005403103363,4.47986577181208
57,ONCAMPUS Hull,3.8234880450070325,5.0,5.0,4.0,4.005865102639296,5.0,5.0,5.0,5.0,5.0
58,Open Study College,3.8234880450070325,3.0,5.0,5.0,4.005865102639296,5.0,5.0,5.0,5.0,5.0
59,Open University,3.8234880450070325,3.0,2.0,3.0,4.005865102639296,5.0,5.0,5.0,1.0,5.0
60,Oxford Brookes University,4.044084036568214,3.8898756330056603,3.5480184375593993,4.25,4.005865102639297,4.0,4.375,4.25,3.380350237300053,4.375
61,Oxford Business College,3.823488045007033,4.466666666666667,3.7813554668525233,4.2,4.0058651026392935,4.444444444444445,4.311111111111111,4.2444444444444445,3.7241967930313824,4.066666666666666
62,Plumpton College,3.8234880450070343,4.1190050640452816,3.7536590001900785,3.9130434782608696,3.869565217391304,4.265864680019541,4.173913043478261,4.173913043478261,3.69520126560028,4.085604223141673
63,Plymouth Marjon University (St Mark & St John),3.823488045007033,4.023801012809056,3.901463600076031,4.0,4.005865102639296,3.8229775280898877,4.6,4.2,3.278080506240113,4.2
64,Point Blank Music School,3.823488045007033,4.784389170224738,3.753659000190077,4.555555555555555,4.005865102639296,4.611111111111111,4.666666666666667,4.555555555555555,3.6952012656002813,4.555555555555555
65,Queen Mary University of London,3.8234880450070325,5.0,4.0,4.0,4.005865102639296,5.0,5.0,4.0,3.0,4.0
66,Queen's University Belfast,3.785992376526221,3.8840579710144927,3.7792506521876867,3.9130434782608696,4.005865102639293,4.11760706725289,4.0,4.130434782608695,3.8260869565217392,4.0144927536231885
67,Robert Gordon University,3.72025603490341,4.093051072082095,3.7274515204294985,4.23469387755102,4.005865102639292,4.4513242375601925,4.204081632653061,4.010204081632653,3.199608266579615,4.153061224489796
68,Royal Academy of Dance,3.823488045007033,4.630945288451992,3.753659000190077,4.555555555555555,4.005865102639296,4.833333333333333,4.777777777777778,4.444444444444445,3.6952012656002813,4.444444444444445
69,Royal Agricultural University,3.739099859353025,3.0590006605276447,3.9023330000082646,3.739130434782609,4.005865102639295,4.173913043478261,4.3478260869565215,4.130434782608695,3.739130434782609,3.869565217391304
70,Sandwell College of Further and Higher Education,3.823488045007035,4.1190050640452816,3.7536590001900794,4.724137931034483,4.0,4.145854320030995,4.448275862068965,4.275862068965517,3.695201265600279,4.085604223141673
71,Sheffield Hallam University,3.8529067041725273,4.333333333333333,3.6666666666666665,3.6666666666666665,4.005865102639297,3.3333333333333335,3.1666666666666665,3.0,3.3333333333333335,3.8333333333333335
72,Solihull College & University Centre,3.8234880450070334,4.116300403498794,3.75925765927667,4.318181818181818,4.5,4.411701991828396,4.590909090909091,4.363636363636363,3.6952012656002777,4.085604223141673
73,"St George's, University of London",3.8823231725751506,4.106140328898466,3.775974504687108,3.8878504672897196,4.005865102639292,4.311632363750919,3.878504672897196,3.9813084112149535,3.761458003065434,3.5700934579439254
74,Staffordshire University,3.7508296333066706,3.0101115413894677,3.401259483708579,3.843137254901961,4.005865102639292,3.7727436292869205,3.8300653594771243,3.888888888888889,3.5879216513464245,3.9934640522875817
75,Swansea University,3.864221573082334,4.615384615384615,4.327392179511548,4.435897435897436,4.0058651026392935,4.6923076923076925,4.589743589743589,4.435897435897436,4.197312852964109,4.358974358974359
76,"Teesside University, Middlesbrough",3.8383603035501723,3.662346515563673,3.9474538956576546,4.049450549450549,4.005865102639292,4.353542103963452,4.34065934065934,4.164835164835165,4.011872729134113,4.4010989010989015
77,The University of Law,3.8247180934738765,4.193624222722502,3.152664369394932,4.034843205574913,4.005865102639292,4.372140116666013,4.024390243902439,4.125435540069686,3.1053160234035646,3.6341463414634148
78,UCEN Manchester (The Manchester College),3.823488045007035,4.1190050640452816,3.7536590001900794,4.333333333333333,3.962962962962963,4.074074074074074,4.2592592592592595,4.185185185185185,3.695201265600279,4.085604223141673
79,UCFB,3.823488045007029,4.199556857650885,3.7536590001900736,3.6391752577319587,4.005865102639292,4.249791497741225,3.948453608247423,3.8556701030927836,3.695201265600284,3.804123711340206
80,UCL (University College London),3.7740437872621104,4.382637257770713,3.971659884977619,3.672566371681416,4.005865102639292,3.8862732425176483,3.831858407079646,3.5486725663716814,3.58364612969914,3.911504424778761
81,Ulster University,3.8481012658227813,4.048102350859915,3.5872574081904185,3.7551020408163267,4.005865102639292,4.235866200412749,3.795918367346939,4.020408163265306,3.161902131216347,3.6530612244897958
82,University College of Estate Management,3.8234880450070325,4.119005064045279,3.753659000190078,5.0,4.005865102639296,4.114887640449438,5.0,5.0,3.6952012656002813,4.0
83,University for the Creative Arts,3.777275467148885,3.4285714285714284,3.268118500013577,4.357142857142857,4.005865102639297,4.5,4.5,4.357142857142857,2.857142857142857,4.071428571428571
84,University of Aberdeen,3.6577255374723707,3.8181818181818183,4.237155545461951,3.779220779220779,4.005865102639293,3.8181818181818183,4.1688311688311686,4.090909090909091,3.495729968748074,4.12987012987013
85,University of Bedfordshire,4.411744022503516,5.0,5.0,5.0,4.005865102639296,5.0,5.0,5.0,5.0,5.0
86,University of Birmingham,3.760778150922813,4.053449082939699,3.973456974502402,3.770408163265306,4.005865102639292,4.025683616143086,3.9642857142857144,3.6479591836734695,3.854032665975513,4.183673469387755
87,University of Bolton,3.8234880450070325,2.0,3.0,3.0,4.005865102639296,3.0,3.0,3.0,2.5,2.5
88,University of Bradford,3.720552039381153,3.375,3.7826221250712786,4.0,4.005865102639297,4.25,3.875,3.75,3.4238003164000705,4.125
89,University of Brighton,3.8234880450070325,5.0,3.753659000190078,3.0,4.005865102639296,4.0,4.0,5.0,3.6952012656002813,5.0
90,University of Bristol,3.8769765162170198,4.626262626262626,4.0683666161712155,3.7777777777777777,4.005865102639292,3.7544376347747135,4.040404040404041,3.2525252525252526,3.5454545454545454,3.9393939393939394
91,University of Buckingham,1.0,1.0,1.0,1.0,4.005865102639296,1.0,1.0,1.0,3.0,2.0
92,University of Chester,3.8234880450070325,5.0,3.753659000190078,5.0,4.005865102639296,4.0,5.0,5.0,5.0,4.0
93,University of Chichester,4.161744022503516,4.625,3.5942073750237595,4.375,4.005865102639297,4.75,4.375,4.5,3.8369001582000353,3.875
94,University of Cumbria,3.7996841024267143,3.767191038862173,3.2551298413301812,3.9523809523809526,4.005865102639292,4.155352684144819,4.119047619047619,4.0476190476190474,3.3753526019302087,3.7857142857142856
95,University of Derby,4.076441631504922,4.5,4.5753659000190074,4.5,4.005865102639297,4.7,4.8,4.3,4.3,4.5
96,University of Edinburgh,3.8234880450070325,4.0,3.753659000190078,1.0,4.005865102639296,3.0,1.0,1.0,3.6952012656002813,2.0
97,University of Essex,4.0,3.0,5.0,4.0,4.005865102639296,4.0,4.0,4.0,5.0,5.0
98,University of Essex Online,3.8234880450070325,4.119005064045279,3.753659000190078,5.0,4.005865102639296,5.0,5.0,5.0,5.0,5.0
99,University of Exeter,3.904626800523787,4.517241379310345,4.512994120692932,4.310344827586207,4.005865102639293,4.568965517241379,4.655172413793103,4.155172413793103,3.8755311217655364,4.379310344827586
100,University of Glasgow,3.8546517685054917,4.651233464623396,4.357868170394304,4.107407407407408,4.005865102639292,4.311236995422388,4.37037037037037,3.988888888888889,4.083840159371887,4.285185185185185
101,University of Gloucestershire,3.8234880450070325,4.0,3.0,2.0,4.005865102639296,2.0,1.0,2.0,3.0,2.0
102,University of Greenwich,3.785850914205346,4.329520405123622,3.8405854400304134,3.84,4.005865102639294,4.124595505617978,4.24,4.12,3.7234241518720337,4.0
103,University of Hertfordshire,3.695147679324896,4.037865247650771,3.9222840455495844,4.409090909090909,4.005865102639295,4.459767620020429,4.409090909090909,4.409090909090909,4.144145799709168,4.363636363636363
104,University of Huddersfield,3.7239532619279454,3.3846153846153846,3.404690538505402,3.6923076923076925,4.005865102639297,4.076923076923077,3.8461538461538463,4.076923076923077,3.769230769230769,4.153846153846154
105,University of Hull,3.854471991278219,3.8789767209028905,3.966647508910603,3.834319526627219,4.005865102639292,4.132896748886377,4.14792899408284,3.905325443786982,3.795432064994109,4.236686390532545
106,University of Kent,3.8234880450070325,5.0,4.0,2.0,4.005865102639296,1.0,2.0,2.0,1.0,4.0
107,University of Law Online,3.8234880450070325,3.2797512660113197,3.5652442501425585,3.5,4.005865102639296,4.25,3.5,4.0,2.6738003164000705,3.5
108,University of Leeds,3.8234880450070325,4.5,4.5,4.0,4.005865102639296,4.0,4.0,4.0,4.5,4.5
109,University of Lincoln,3.8234880450070325,4.166666666666667,4.333333333333333,3.8333333333333335,4.005865102639297,3.8333333333333335,4.0,3.6666666666666665,4.0,4.5
110,University of Liverpool,3.7176175625267507,4.654243566331222,3.8897349652487936,3.860869565217391,4.005865102639292,3.951822178798241,4.0,3.6695652173913045,3.9995827187478517,3.991304347826087
111,University of Manchester,3.899136025718304,4.428571428571429,3.8219512857414393,4.071428571428571,4.005865102639297,3.7939205457463885,3.7857142857142856,3.5714285714285716,3.857142857142857,3.9285714285714284
112,University of Northampton,3.8234880450070325,1.0,4.0,3.0,4.005865102639296,3.0,2.0,3.0,1.0,1.0
113,University of Nottingham,3.911744022503516,3.5,4.5,3.0,4.005865102639296,2.5,2.5,2.0,3.5,3.0
114,University of Oxford,3.769052456112935,4.194000375114466,4.324209592599633,4.111111111111111,4.005865102639294,4.267769454848106,4.2592592592592595,3.888888888888889,3.0885334270815017,4.444444444444445
115,University of Plymouth,3.0,3.5,4.5,3.0,4.005865102639296,4.5,3.0,3.5,4.0,4.0
116,University of Reading,3.7850267989508457,3.5586865686061393,3.882649994605895,3.8054054054054056,4.005865102639292,3.9484300030367447,3.881081081081081,3.745945945945946,3.9576822032086585,3.810810810810811
117,University of Roehampton,3.860103141115797,3.9052891139575676,3.4531436777967857,3.7111111111111112,4.005865102639292,3.7162172284644197,3.8333333333333335,3.8777777777777778,3.90772445850667,4.011111111111111
118,University of Sheffield,3.7024572649572614,4.25,3.9522045384761593,3.798076923076923,4.005865102639292,3.897544835782196,4.028846153846154,3.9326923076923075,4.564376935246157,4.355769230769231
119,University of South Wales,3.8129113924050633,3.7942806076854323,3.2058049800418176,4.08,4.0058651026392935,4.16,4.22,3.86,3.5556161012480225,4.04
120,University of Southampton,4.101721975139697,4.351351351351352,4.945945945945946,4.594594594594595,4.0058651026392935,4.62472669298512,4.72972972972973,4.351351351351352,4.621621621621622,4.54054054054054
121,University of St Andrews,3.859450695421158,3.4927225035580713,4.201490527783058,4.222222222222222,4.005865102639293,4.0,4.194444444444445,4.0,4.0428556082889004,4.027777777777778
122,University of Stirling,3.7450773558368495,4.333333333333333,4.043496166761706,3.8333333333333335,4.005865102639297,4.038295880149813,4.333333333333333,4.0,3.615866877600047,3.8333333333333335
123,University of Strathclyde,3.8018635724331906,4.109941474355605,3.90111195590192,3.7058823529411766,4.005865102639293,3.7811012888301385,3.9558823529411766,3.8676470588235294,3.961623566635302,4.102941176470588
124,University of Sunderland,3.8234880450070325,4.039668354681759,2.584553000063359,3.3333333333333335,4.005865102639296,3.3333333333333335,3.3333333333333335,3.0,3.231733755200094,3.0
125,University of Surrey,3.746867701518726,3.1959359191939063,3.663347568833497,3.8440366972477062,4.005865102639292,4.352839913410989,3.889908256880734,3.871559633027523,3.3764918940624185,3.963302752293578
126,University of Sussex,3.6870547139793852,4.30620504255849,3.713714590195093,3.7459016393442623,4.005865102639292,3.6796647633081587,3.8934426229508197,3.860655737704918,3.5954689665705177,4.065573770491803
127,University of Wales Trinity Saint David,3.9327406067912394,4.1598578662921835,4.464808428598582,4.428571428571429,4.005865102639297,4.5,4.642857142857143,4.357142857142857,4.549657233257163,4.142857142857143
128,University of Warwick,3.719509744826199,2.859267947572237,3.995601053574823,3.9107142857142856,4.005865102639293,4.109194422150883,3.982142857142857,4.017857142857143,3.7624143083142907,3.982142857142857
129,University of West London,3.8234880450070325,5.0,5.0,5.0,4.005865102639296,4.0,5.0,5.0,5.0,5.0
130,"University of Westminster, London",3.3823253633380213,3.6666666666666665,3.9178863333966922,2.6666666666666665,4.005865102639297,3.0,2.8333333333333335,3.3333333333333335,2.4492002109333804,3.1666666666666665
131,University of Winchester,3.8234880450070325,2.0,4.0,2.0,4.005865102639296,4.0,2.0,1.0,3.0,4.0
132,University of Wolverhampton,3.7698819633605702,3.2383928537761637,3.0961409367714188,3.7848101265822787,4.005865102639293,4.171828331674014,3.5443037974683542,3.962025316455696,3.371422977053207,4.0
133,University of Worcester,3.8838241589058984,4.226340425434656,3.9009295345618527,4.079283887468031,4.005865102639292,4.29252852093451,4.278772378516624,4.202046035805626,3.810592434181097,4.1918158567774935
134,University of the Arts London,3.8132238440366306,4.222088601550998,3.1119968277903,3.7583732057416266,4.005865102639292,3.574681468738239,3.825358851674641,3.8038277511961724,3.2123446489952476,3.9665071770334928
135,University of the Highlands and Islands (UHI),3.8234880450070325,4.059502532022639,3.753659000190078,3.0,4.005865102639296,4.557443820224719,2.5,3.0,4.5,3.5
136,University of the West of Scotland,3.7744725738396614,3.3805505908052824,3.405081416714187,3.9833333333333334,4.005865102639293,3.759573970037453,3.966666666666667,3.9166666666666665,3.4941202320267175,3.6333333333333333
137,West Herts College,3.8234880450070325,4.119005064045279,3.7536590001900776,3.3333333333333335,4.0,3.8333333333333335,4.0,3.5,3.6952012656002817,4.085604223141675
138,Westminster Kingsway College,3.8234880450070357,4.1190050640452816,3.75365900019008,3.727272727272727,3.1515151515151514,3.6095420497105892,3.242424242424242,3.5454545454545454,3.6952012656002786,4.085604223141673
139,dBs Music,3.8234880450070357,4.654059121414428,4.176901058845893,4.411764705882353,4.005865102639294,4.594993390614673,4.588235294117647,4.705882352941177,3.840047356611831,4.735294117647059
